地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第4地区,4地区ユースリーグ,2024,1部,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9154,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9154,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 1部 2024年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,大森学園B・都立美原A・東海大高輪台D,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2024,2部,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9155,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9155,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 2部 2024年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,日体大荏原C・東海大高輪台E・東京C,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2024,3部A,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9156,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9156,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 3部A 2024年度」で一致。main.phpは順位表<table>1本（11チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,11,日体大荏原D・正則学園C・朋優学院,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2024,3部B,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9157,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9157,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 3部B 2024年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,都立小山台・東京D・大森学園D,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2025,1部,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9466,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9466,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 1部 2025年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,攻玉社A・東京B・東海大高輪台D,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2025,2部,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9467,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9467,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 2部 2025年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,東京C・都立小山台A・都立雪谷,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2025,3部A,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9468,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9468,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 3部A 2025年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,都立日比谷・東京D・青稜B,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2025,3部B,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9469,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9469,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 3部B 2025年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,大森学園D・羽田国際・正則学園B,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2026,1部,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9761,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9761,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 1部 2026年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,日体大荏原B・東京実業C・都立小山台A,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
第4地区,4地区ユースリーグ,2026,2部,https://www.kawakitanet.com/league_soccer/select.php?pref_cd=8&gameid=9762,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8&gameid=9762,独自サイト(Kawakita),,部内はグループ分けなし・単一の総当り表。校名末尾のA/B/C/D等は同一校の複数チームを示す,確認済み,https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8,ChatGPTのgameidは12件とも一覧ページ内のリンクと完全一致（連番からの推測ではなく実在するリンク）。Gemini Deep Researchは第4地区を「集約ポータル未発見」としていたが誤り,確認済み（ChatGPTの記載どおり）,main.php titleとselect.php titleがどちらも「4地区ユースリーグ 2部 2026年度」で一致。main.phpは順位表<table>1本（10チーム）。select.phpは<table>を使わないリスト形式で日付・対戦・スコアが並ぶ「試合結果一覧」。一覧ページ https://www.kawakitanet.com/league_soccer/main.php?pref_cd=8 のリンク一覧と突合済み,10,東京実業D・明治学院A・都立日比谷,一覧ページをcurl取得しリンクを列挙、12 gameid全てのselect.php/main.php計24ページをcurlで取得しBeautifulSoupで解析
