地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第3地区,第3地区ユースリーグ,2024,1部,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,ChatGPTは47948を1部/3部A/3部Bの共通URLと記載していたが実際は誤り。1部は最終順位のみ確認（試合ごとの結果ページ未特定）,ChatGPTの記載と違う,Gemini: post-1629009は2024年度の根拠URLとしてGeminiも提示。開いて確認したところ1部〜3部D全ブロックの最終順位が掲載されており有用だった,10,成立学園C／東京成徳B／都立高島,curl
第3地区,第3地区ユースリーグ,2024,2部A,https://junior-soccer.jp/kanto/tokyo/league/table/47948,https://junior-soccer.jp/kanto/tokyo/league/order/47948,独自サイト,,A・B・Cの表記あり,確認済み,https://junior-soccer.jp/kanto/tokyo/league/table/47948,ChatGPTは47948を1部/3部A/3部Bの共通URLと記載していたが実際に開くと見出しは【2部A】2024年度第3地区リーグユースリーグ。3ブロック共通ではなく2部A専用ページだった,ChatGPTの記載と違う,,7,岩倉／淑徳／都立青山,curl
第3地区,第3地区ユースリーグ,2024,2部B,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,ChatGPTは2部Bに触れていない。最終順位のみ確認（試合ごとの結果ページ未特定）,新たに発見,,7,駿台学園D／都立北園／都立戸山,curl
第3地区,第3地区ユースリーグ,2024,3部A,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,【板橋有徳】2024年度は3部Aに所属し6位（7チーム中）。ChatGPTは47948を3部Aの結果URLとしていたが誤り（47948は2部A）,ChatGPTの記載と違う,,7,國學院／Criacao Shinjuku／都立新宿,curl(WebSearchで一次発見→curlで本文取得)
第3地区,第3地区ユースリーグ,2024,3部B,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,ChatGPTは47948を3部Bの結果URLとしていたが誤り（47948は2部A）。最終順位のみ確認,ChatGPTの記載と違う,,7,海城／城北C／大智学園,curl
第3地区,第3地区ユースリーグ,2024,3部C,https://junior-soccer.jp/kanto/tokyo/league/table/50057,https://junior-soccer.jp/kanto/tokyo/league/order/50057,独自サイト,,A・B・Cの表記あり,確認済み,https://junior-soccer.jp/kanto/tokyo/league/table/50057,ChatGPTの記載どおり【3部C】2024年度第3地区リーグの戦績表,確認済み（ChatGPTの記載どおり）,,7,早稲田／城北D／都立第一商業,curl
第3地区,第3地区ユースリーグ,2024,3部D,https://junior-soccer.jp/kanto/tokyo/league/table/47953,https://junior-soccer.jp/kanto/tokyo/league/order/47953,独自サイト,,A・B・Cの表記あり,確認済み,https://junior-soccer.jp/kanto/tokyo/league/table/47953,ChatGPTの記載どおり【3部D】2024年度第3地区リーグの戦績表。都立板橋（有徳ではない別の都立高校）が5位で登場。板橋有徳と混同しないよう注意,確認済み（ChatGPTの記載どおり）,,6,駿台学園E／海城B／都立白鷗,curl
第3地区,第3地区ユースリーグ,2025,1部,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（駿台学園B優勝（T5昇格））。試合ごとの結果ページ・順位表は未特定,新たに発見,Gemini: 提示URL(seijogakko/club_news/29952)を確認したが日付不明の過去記事（2部優勝→1部昇格、感染症言及あり）で2025年度の記事ではない可能性が高い。2025年度情報は公式Wixのブログ記事から取得した,不明,駿台学園B優勝（T5昇格）,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,2部A,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（駿台学園C優勝／2位都立戸山）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,駿台学園C優勝／2位都立戸山,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,2部B,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（駿台学園D優勝／2位目白研心C）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,駿台学園D優勝／2位目白研心C,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部A,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（大東文化第一B優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,大東文化第一B優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部B,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（Criacao Shinjuku優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,Criacao Shinjuku優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部C,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（目白研心D優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,目白研心D優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部D,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（都立大山優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,都立大山優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
