地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第8地区,8地区ユースリーグ,2024,1部,https://web.playerapp.tokyo/competition/14485,https://web.playerapp.tokyo/competition/14485,JS描画(React/api.ookami.me),,学校名+A/B表記あり,一部確認,https://web.playerapp.tokyo/competition/14485,title/og:titleで「(2024)1部リーグ」を確認。呼び出し元の指示によりPlaywrightは1回のみ使用し第5〜9節の結果を確認(速報・日程は現在なし=シーズン終了扱い)。順位表タブは未確認,確認済み(ChatGPTの記載どおり),HTTP200/静的HTMLにはtitleとmeta以外の試合データなし・本文表示はJS必須,不明(対戦校6校以上を確認・9節以上実施),東大和高等学校B／早稲田実業学校高等部B／小平高等学校A,curl+Playwright(1回のみ)
第8地区,8地区ユースリーグ,2024,2部(ブロック不明),https://www.metro.ed.jp/higashimurayama-h/activities/club_9/index.html,,HTML(ニュースブログ・沿革表あり・順位表なし),,不明,一部確認,https://www.metro.ed.jp/higashimurayama-h/activities/club_9/index.html,沿革表に「R06 第8地区ユースリーグ2部昇格」と明記。個別節の対戦校は2024年分を精読していない,新たに発見,ChatGPT・Geminiともに2024年2部は未記載。都立東村山高校自身のページで発見,不明,不明,curl(WebSearchで発見)
第8地区,8地区ユースリーグ,2024,3部A,,,不明,,不明,未発見,,ChatGPT・Geminiとも2024年3部Aの専用URLは未記載。WebSearchでも発見できず,未発見,検索したが該当ページ見つからず,不明,不明,WebSearch(未達)
第8地区,8地区ユースリーグ,2024,3部B,https://dendai-highschool-soccer.1web.jp/results.html,,HTML(div構造のスコアカード・順位表なし),,学校名+A/B表記あり,一部確認,https://dendai-highschool-soccer.1web.jp/results.html,見出し「2024年8地区ユースリーグ3部Bブロック」で確認。電大高視点で全8節+5・6位決定戦の結果あり,確認済み(ChatGPTの記載どおり),HTTP200・charset=utf-8で正常に読める・bs4でdivクラスcaption/player/totalを抽出可能,9校前後(電大高含む対戦校から推定・総数の明記なし),多摩科学技術高等学校／拝島／小平B,curl
第8地区,8地区ユースリーグ,2025,1部,https://sc.footballnavi.jp/tokaisugaofc/news_list.php?curY=1909&kn=10308&nowpg=2,,HTML(shift_jisのニュース一覧・順位表なし),,不明,一部確認,https://sc.footballnavi.jp/tokaisugaofc/news_list.php?curY=1909&kn=10308&nowpg=2,見出し一覧に「2025年度第8地区ユースリーグ1部第1〜6節」を確認。同一ページに2部の見出しも混在しており東海大菅生は1部と2部の2チーム体制の可能性あり。対戦校名は個別記事にのみ記載されておりこのURLからは取得不可,確認済み(ChatGPTの記載どおり),HTTP200・charset=shift_jisでのデコードが必要・見出し一覧のみでスコア本文なし,不明,不明,curl(shift_jisデコード)
第8地区,8地区ユースリーグ,2025,2部(ブロック不明),https://web.playerapp.tokyo/competition/16069,https://web.playerapp.tokyo/competition/16069,JS描画(React/api.ookami.me),,不明,一部確認,https://web.playerapp.tokyo/competition/16069,title「(2025)2部リーグ」で確認。東海大菅生footballnaviにも2025年2部の見出しがあり同一リーグの可能性。都立東村山高校が2025年10月に2部残留と発表しておりこのリーグと同一と推定(Gemini:東村山の2025年所属確認に対応),確認済み(ChatGPTの記載どおり),HTTP200・titleで年度部一致・本文はJS必須のため未確認,不明,不明,curl(title/metaのみ)
第8地区,8地区ユースリーグ,2025,3部A,https://dendai-highschool-soccer.1web.jp/results.html,,HTML(div構造のスコアカード・順位表なし),,学校名+A/B表記あり,一部確認,https://dendai-highschool-soccer.1web.jp/results.html,見出し「2025年8地区ユースリーグ3部Aブロック」で確認(ChatGPT未記載の新規発見)。電大高視点で7節+最終節+1位2位順位決定戦(PK)。Player!のcompetition/16071「3部リーグ(2025)」と同一ブロックの可能性が高いがPlayer側にブロック名の表記がなく断定不可,新たに発見,見出しテキストで年度・部・ブロック完全一致,8〜9校程度(電大高含む対戦校から推定),国際基督教大学高校／清瀬高校／啓明学園,curl
第8地区,8地区ユースリーグ,2025,3部(Player!表記・ブロック不明),https://web.playerapp.tokyo/competition/16071,https://web.playerapp.tokyo/competition/16071,JS描画(React/api.ookami.me),,不明,一部確認,https://web.playerapp.tokyo/competition/16071,title「(2025)3部リーグ」で確認。上記の電大高「3部Aブロック」と同一リーグの可能性が高いが本文未取得のため断定不可,確認済み(ChatGPTの記載どおり),HTTP200・titleで年度部一致・本文はJS必須のため未確認,不明,不明,curl(title/metaのみ)
第8地区,8地区ユースリーグ,2025,3部B,,,不明,,不明,未発見,,2024年に存在した3部Bが2025年も存続しているか確認できず。電大高は2025年に3部Aへ配置されており3部Bの動向は追えていない,未発見,検索したが該当ページ見つからず,不明,不明,WebSearch(未達)
第8地区,8地区ユースリーグ,2026,1部,,,不明,,不明,未発見,https://x.com/fussa_fc/status/2030956570729926934,ChatGPT・Geminiとも「存在のみ」で専用URL未特定。X投稿に2026年度開幕への言及があるが本文は開けない,未発見,X(x.com)はcurlでHTTP200が返るがJS必須のSPAシェルのみで投稿本文は取得不可・WebFetchもHTTP402で拒否,不明,不明,curl+WebFetch(いずれも本文取得失敗)
