地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2024,3部A,https://www.metro.ed.jp/roka-h/activities/2025/01/clubentry_90.html,,独自サイト,,A・Bの表記あり,一部確認,https://www.metro.ed.jp/roka-h/activities/2024/07/clubentry_75.html,都立芦花高校サッカー部の学校ページで確認。2024年度(令和6年度)は3部Aに所属し4勝4敗5位で終了。地区一元の結果ページは未発見で学校個別ページのみ,確認済み（ChatGPTの記載どおり）,ChatGPTが提示したclubentry_75(2024/07/16、開催中の速報)に加え、確定結果を記載したclubentry_90(2025/01/16公開)を新たに発見して補強した,不明,芦花／日大桜丘／都市大等々力B,curl
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2024,1部,,,不明,,不明,未発見,,根拠となるページ未発見,未発見,,,,
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2024,2部A,,,不明,,不明,未発見,,根拠となるページ未発見,未発見,,,,
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2024,2部B,,,不明,,不明,未発見,,根拠となるページ未発見,未発見,,,,
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2024,3部B,,,不明,,不明,未発見,,根拠となるページ未発見,未発見,,,,
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2025,不明（1部/2部/3部とも未特定）,,,不明,,不明,未発見,https://koko-soccer.com/score/4208,地区リーグ（総当たり戦）のページは未発見。参加校の一部（駒場東邦・野津田など）は確認できたが大会種別が異なる,ChatGPTの記載と違う,Gemini: 提示のkoko-soccer.com/score/4208を開いて確認したところ見出しは「2025年度 令和7年度東京新人戦（新人選手権大会）第6地区」というノックアウト方式のトーナメント表であり、地区リーグ（総当たり戦の順位表）ではなかった。Geminiが挙げた参加校（駒場東邦・野津田等）はこの新人戦のものであり、地区リーグの根拠にはならない,,,curl
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2026,1部,https://docs.google.com/spreadsheets/d/1vY7m-UeNZODVhNsxWN_Wn9Nt-7p4BdPc8PC64K5_qAo/gviz/tq?tqx=out:csv,,Googleサイト（スプレッドシート埋め込み）,,A・B・Cの表記あり,確認済み,http://tokyo6league.com/,tokyo6league.com(公式ポータル)の各部ページが2026年度分としてGoogleサイト(sites.google.com/gakugei-hs.info/league6)へ誘導。埋め込みGoogleフォーム回答シートを見つけ、gviz/tq?tqx=out:csvで機械可読なCSVとして直接取得できた（順位表ではなく1行=1試合の結果ログ）。駒場学園AはbukatsunaviのSNS的な部活ページ(2026年度6地区1部第7節)とも一致。ChatGPTが提示したbukatsunaviのURLは1部の存在確認としては正しかった,新たに発見,Gemini: koko-soccer.com/score/4208は本ブロックの根拠にはならない（2025年度の新人戦であり別大会。詳細は2025年度の行を参照）,10,駒場学園A／日大三B／成城学園,curl(tokyo6league.com→sites.google.com埋め込みiframeのspreadsheet IDを抽出→docs.google.com/.../gviz/tq?tqx=out:csvを直接curl)
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2026,2部A,https://docs.google.com/spreadsheets/d/1vY7m-UeNZODVhNsxWN_Wn9Nt-7p4BdPc8PC64K5_qAo/gviz/tq?tqx=out:csv,,Googleサイト（スプレッドシート埋め込み）,,A・B・Cの表記あり,確認済み,http://tokyo6league.com/,tokyo6league.com(公式ポータル)の各部ページが2026年度分としてGoogleサイト(sites.google.com/gakugei-hs.info/league6)へ誘導。埋め込みGoogleフォーム回答シートを見つけ、gviz/tq?tqx=out:csvで機械可読なCSVとして直接取得できた（順位表ではなく1行=1試合の結果ログ）,新たに発見,,9,多摩大目黒D／大東学園／日大桜丘A,curl(tokyo6league.com→sites.google.com埋め込みiframeのspreadsheet IDを抽出→docs.google.com/.../gviz/tq?tqx=out:csvを直接curl)
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2026,2部B,https://docs.google.com/spreadsheets/d/1vY7m-UeNZODVhNsxWN_Wn9Nt-7p4BdPc8PC64K5_qAo/gviz/tq?tqx=out:csv,,Googleサイト（スプレッドシート埋め込み）,,A・B・Cの表記あり,確認済み,http://tokyo6league.com/,tokyo6league.com(公式ポータル)の各部ページが2026年度分としてGoogleサイト(sites.google.com/gakugei-hs.info/league6)へ誘導。埋め込みGoogleフォーム回答シートを見つけ、gviz/tq?tqx=out:csvで機械可読なCSVとして直接取得できた（順位表ではなく1行=1試合の結果ログ）,新たに発見,,10,学大附／小川／日大三C,curl(tokyo6league.com→sites.google.com埋め込みiframeのspreadsheet IDを抽出→docs.google.com/.../gviz/tq?tqx=out:csvを直接curl)
第6地区,第6地区リーグU-18（通称・第6地区ユースリーグ）,2026,3部A,https://docs.google.com/spreadsheets/d/1vY7m-UeNZODVhNsxWN_Wn9Nt-7p4BdPc8PC64K5_qAo/gviz/tq?tqx=out:csv,,Googleサイト（スプレッドシート埋め込み）,,A・B・Cの表記あり,確認済み,http://tokyo6league.com/,tokyo6league.com(公式ポータル)の各部ページが2026年度分としてGoogleサイト(sites.google.com/gakugei-hs.info/league6)へ誘導。埋め込みGoogleフォーム回答シートを見つけ、gviz/tq?tqx=out:csvで機械可読なCSVとして直接取得できた（順位表ではなく1行=1試合の結果ログ）。都立芦花が引き続き3部Aに所属（2024年度と同ブロック）,新たに発見,,7,芦花／千歳丘／科学技術学園,curl(tokyo6league.com→sites.google.com埋め込みiframeのspreadsheet IDを抽出→docs.google.com/.../gviz/tq?tqx=out:csvを直接curl)
