地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第7地区,第7地区ユースリーグ,2024,1部,https://sites.google.com/view/youthleague-7/archives/2024/Scores/1st-division,https://sites.google.com/view/youthleague-7/archives/2024/Scores/1st-division,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,新たに発見,ChatGPT/Geminiともに2024年度は「archives/2024」というトップページのURLのみで、部ごとのURLは未特定だった。トップページHTML内のサイトマップ情報(/view/youthleague-7/archives/2024/Scores/1st-division等)から発見,10,Raiz Chofu F.C U-18/大成C/アローレ八王子U-18,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2024,2部A,https://sites.google.com/view/youthleague-7/archives/2024/Scores/2nd-division-a,https://sites.google.com/view/youthleague-7/archives/2024/Scores/2nd-division-a,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,新たに発見,同上。トップページのサイトマップ情報から発見,9,八王子東A/昭和第一学園B/明中八王子B,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2024,2部B,https://sites.google.com/view/youthleague-7/archives/2024/Scores/2nd-division-b,https://sites.google.com/view/youthleague-7/archives/2024/Scores/2nd-division-b,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,新たに発見,同上,9,調布南/永山/穎明館,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2024,3部A,https://sites.google.com/view/youthleague-7/archives/2024/Scores/3rd-division-a,https://sites.google.com/view/youthleague-7/archives/2024/Scores/3rd-division-a,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,新たに発見,同上,8,富士森/三鷹中等B/神代,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2024,3部B,https://sites.google.com/view/youthleague-7/archives/2024/Scores/3rd-division-b,https://sites.google.com/view/youthleague-7/archives/2024/Scores/3rd-division-b,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,新たに発見,同上,9,星槎国際八王子/八王子北/府中,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2025,1部,https://sites.google.com/view/youthleague-7/archives/2025/Scores/1,https://sites.google.com/view/youthleague-7/archives/2025/Scores/1,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,確認済み（ChatGPTの記載どおり）,ChatGPT記載のURLと一致。トップページのサイトマップでも同じパスを確認,10,アローレ八王子U-18/大成C/調布南A,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2025,2部A,https://sites.google.com/view/youthleague-7/archives/2025/Scores/2a,https://sites.google.com/view/youthleague-7/archives/2025/Scores/2a,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL。片倉Bは不参加チームとして別記されており実働8チーム,確認済み（ChatGPTの記載どおり）,ChatGPT記載のURLと一致,9,星槎国際八王子/明大八王子B/松が谷A,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2025,2部B,https://sites.google.com/view/youthleague-7/archives/2025/Scores/2b,https://sites.google.com/view/youthleague-7/archives/2025/Scores/2b,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,確認済み（ChatGPTの記載どおり）,ChatGPT記載のURLと一致,9,明星学園B/法政大学/富士森,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2025,3部A,https://sites.google.com/view/youthleague-7/archives/2025/Scores/3a,https://sites.google.com/view/youthleague-7/archives/2025/Scores/3a,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,確認済み（ChatGPTの記載どおり）,ChatGPT記載のURLと一致,9,八王子北/工学院/南平,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
第7地区,第7地区ユースリーグ,2025,3部B,https://sites.google.com/view/youthleague-7/archives/2025/Scores/3b,https://sites.google.com/view/youthleague-7/archives/2025/Scores/3b,Googleサイト(静的テキスト・最終順位のみ),,チーム名にA/B/C等の接尾辞があるチームとないチームが混在(同一校の2軍/3軍を示す),確認済み,https://sites.google.com/view/youthleague-7/,Googleサイトの過去データページで、節ごとの試合結果・スコアは掲載されておらず「最終順位」のみを文章形式で掲載(得点は勝ち点)。結果ページと順位表ページは同一URL,確認済み（ChatGPTの記載どおり）,ChatGPT記載のURLと一致,9,昭和第一学園C/アローレ八王子B/法政大学B,curlでHTML取得しBeautifulSoupでテキスト抽出(表ではなく文章形式の最終順位)
